cell_id,district,min_lon,min_lat,max_lon,max_lat,bbox
san_isidro_01,SAN ISIDRO,-77.052500,-12.107500,-77.047500,-12.102500,"-77.052500,-12.107500,-77.047500,-12.102500"
san_isidro_03,SAN ISIDRO,-77.047500,-12.097500,-77.042500,-12.092500,"-77.047500,-12.097500,-77.042500,-12.092500"
san_isidro_alt_01,SAN ISIDRO,-77.057500,-12.112500,-77.052500,-12.107500,"-77.057500,-12.112500,-77.052500,-12.107500"
san_juan_lurigancho_01,SAN JUAN DE LURIGANCHO,-77.012500,-12.010000,-77.007500,-12.005000,"-77.012500,-12.010000,-77.007500,-12.005000"
san_juan_lurigancho_02,SAN JUAN DE LURIGANCHO,-77.007500,-11.995000,-77.002500,-11.990000,"-77.007500,-11.995000,-77.002500,-11.990000"
san_juan_lurigancho_03,SAN JUAN DE LURIGANCHO,-77.007500,-11.980000,-77.002500,-11.975000,"-77.007500,-11.980000,-77.002500,-11.975000"
