cell_id,bbox,queried_at_utc,max_images_requested,images_returned,status,notes
san_isidro_01,"-77.052500,-12.107500,-77.047500,-12.102500",2026-09-09T22:02:40.226838Z,300,26,success,successful subqueries: 1
san_isidro_03,"-77.047500,-12.097500,-77.042500,-12.092500",2026-09-09T22:02:50.696305Z,300,331,success,successful subqueries: 4
san_isidro_alt_01,"-77.057500,-12.112500,-77.052500,-12.107500",2026-09-09T22:03:40.604635Z,300,100,success,successful subqueries: 1
san_juan_lurigancho_01,"-77.012500,-12.010000,-77.007500,-12.005000",2026-09-09T22:03:51.640977Z,300,27,success,successful subqueries: 1
san_juan_lurigancho_02,"-77.007500,-11.995000,-77.002500,-11.990000",2026-09-09T22:03:58.619658Z,300,93,success,successful subqueries: 1
san_juan_lurigancho_03,"-77.007500,-11.980000,-77.002500,-11.975000",2026-09-09T22:04:06.382775Z,300,99,success,successful subqueries: 1
